"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"1",="2330","台積電","518","2021","134,330","10,650","1,984","1,931","13,868","16,071","294","19751","268","52.2","37,255","7,395","6,134","1,792","15,548","21,707","83.62","87"
"2",="2317","鴻海","103.5","2021","14,348","10,594","12,235","6,721","23,335","30,344","4,296","3101","454","287","39,089","19,977","2,756","115","23,356","15,733","99.59","36"
"3",="2454","聯發科","773","2021","12,365","1,837","656","733","2,704","3,469","1,297","491","735","498","6,609","2,111","8.28","39.8","2,272","4,336","271.52","72"
"4",="2412","中華電","118","2021","9,154","398","240","113","693","910","215","2891","839","110","5,131","643","354","127","1,218","3,913","48.9","66"
"5",="6505","台塑化","81.7","2021","7,783","645","623","727","1,947","2,896","500","979","","117","4,588","579","292","53.3","970","3,618","37.52","53"
"6",="2308","台達電","286.5","2021","7,442","499","727","661","1,276","1,969","50.2","766","736","23.5","3,651","1,082","439","87.6","1,790","1,861","59.59","51"
"7",="2881","富邦金","55.5","2021","6,879","2,847","2,553","","","","68,390","654","338","745","104,997","","","827","95,159","9,838","70.84","71"
"8",="2303","聯電","53.2","2021","6,653","1,326","360","230","2,073","2,333","726","1299","36.4","125","4,644","1,055","405","310","1,832","2,812","22.51","74"
"9",="1303","南亞","76.5","2021","6,067","745","721","576","1,924","2,559","2,079","1848","19.3","131","6,687","1,140","861","199","2,400","4,287","52.21","62"
"10",="2882","國泰金","41","2021","6,014","4,676","2,055","","","","81,069","979","515","585","115,944","","","417","106,803","9,140","61.35","67"
"11",="1301","台塑","90.7","2021","5,774","137","343","245","1,612","1,893","2,435","973","6.23","98.2","5,437","745","403","63.6","1,405","4,032","63.34","64"
"12",="2002","中鋼","31.45","2021","4,949","240","223","1,295","649","2,100","775","3707","14.8","70.1","6,880","1,619","1,034","99.6","3,010","3,870","22.88","53"
"13",="3711","日月光投控","109.5","2021","4,774","761","1,292","732","2,138","2,924","440","2399","760","46.9","6,729","2,109","1,643","93.6","3,983","2,746","60.73","55"
"14",="2886","兆豐金","31.75","2021","4,426","1,406","966","","","","14,086","217","10.2","71.4","41,683","","","194","38,399","3,284","24.15","71"
"15",="2891","中信金","20.85","2021","4,083","1,304","2,123","","","","34,153","494","386","411","70,835","","","259","66,309","4,526","21.53","62"
"16",="1326","台化","68.5","2021","4,015","231","425","472","1,879","2,466","2,050","1309","0.06","120","5,983","849","627","55.9","1,544","4,440","66.84","51"
"17",="1216","統一","68.7","2021","3,904","808","257","466","1,323","1,876","808","1226","172","105","5,140","1,762","609","162","3,330","1,810","20.52","55"
"18",="5871","中租-KY","230","2021","3,641","464","4,276","0","4,977","5,118","112","522","0.94","1,285","7,132","4,239","1,583","69.7","5,967","1,165","68.5","62"
"19",="5880","合庫金","25.35","2021","3,551","998","442","","","","14,062","334","38.7","62.3","44,338","","","13.8","41,910","2,429","17.37","67"
"20",="3045","台灣大","99","2021","3,484","154","105","64.4","308","387","84.5","434","813","41.5","1,910","595","461","39.5","1,177","733","23.23","51"
"21",="2603","長榮","162","2021","3,429","1,078","427","58.4","2,713","2,831","462","1539","12.7","246","6,110","1,091","569","48.5","2,537","3,573","61.76","91"
"22",="2892","第一金","25.8","2021","3,412","607","538","","","","11,968","275","10.1","96","37,396","","","98.9","35,150","2,245","17.32","62"
"23",="2884","玉山金","23.7","2021","3,383","852","1,244","","","","10,640","339","61.8","139","32,309","","","115","30,365","1,944","14.54","71"
"24",="2207","和泰車","595","2021","3,250","258","1,920","100","2,260","2,496","316","536","13","80.5","3,496","2,284","47.4","82.8","2,551","945","135.07","45"
"25",="2382","廣達","83.2","2021","3,214","1,623","2,663","1,966","4,437","6,494","39.3","522","8.08","21.4","7,176","5,207","227","7.87","5,494","1,681","41.81","38"
"26",="3008","大立光","2250","2021","3,003","891","103","57.1","1,161","1,243","13.7","349","0.7","131","1,747","327","","1.04","330","1,417","1061.97","83"
"27",="2880","華南金","21.65","2021","2,954","428","603","","","","10,846","324","9.42","51.1","34,610","","","151","32,602","2,007","15.21","62"
"28",="2395","研華","363","2021","2,816","93","103","125","218","351","80.3","102","26.7","1.82","578","165","0","6.19","195","384","48.88","64"
"29",="2912","統一超","268","2021","2,786","456","91.5","184","555","794","130","291","98.1","37.9","2,145","886","15","97.7","1,717","428","32.86","57"
"30",="0050","元大台灣50","118.95","","2,741","","","","","","","","","","","","","","","","",""
"31",="2885","元大金","21.85","2021","2,732","807","2,637","","","","15,476","245","310","869","30,230","","","1,025","27,339","2,891","22.17","71"
"32",="3034","聯詠","434.5","2021","2,644","601","239","142","840","1,001","42.9","69.1","24.8","58.9","1,206","359","","137","501","705","115.78","83"
